name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid
DAVI SUD,07177,5610A,SARL,Restauration traditionnelle,2023-12-05,35,E37E6A3E-FAE7-EB11-BACB-0022489B9F4E
SMD STITCHING MACHINE DEVELOPMENT,07179,2849z,SASU,Fabrication d'autres machines-outils,2018-10-26,0,952A6544-FAE7-EB11-BACB-0022489B9F4E
SAMT,07184,7010Z,EURL,Activités des sièges sociaux,2018-05-15,0,B55E595C-FAE7-EB11-BACB-0022489B9F4E
LA PTITE CANDELICE,07185,1071C,SARL,Boulangerie et boulangerie-pâtisserie,2018-08-01,0,5460595C-FAE7-EB11-BACB-0022489B9F4E
CLAVELIN AGENCY,07189,6420Z,EURL,,2018-05-31,0,D687506E-FAE7-EB11-BACB-0022489B9F4E
GB INVESTMENTS,07191,6820B,SCI,Location de terrains et d'autres biens immobiliers,2018-07-04,0,BAA14A7A-FAE7-EB11-BACB-0022489B9F4E
JOBARD AUTOS,07192,4520A,SARL,Entretien et réparation de véhicules automobiles légers,2018-05-30,0,7CA34A7A-FAE7-EB11-BACB-0022489B9F4E
LFC,07195,5610A,SARL,Restauration traditionnelle,2021-06-15,0,4C043D8C-FAE7-EB11-BACB-0022489B9F4E
HARVEY SANDRA AUTO ENTREPRISE ,07198,,IND,,2018-06-06,0,91F82F98-FAE7-EB11-BACB-0022489B9F4E
DECOAR,07202,6820B,SCI,Location de terrains et d'autres biens immobiliers,2018-05-17,0,E0142AA4-FAE7-EB11-BACB-0022489B9F4E
AB CARRE,07205,6201Z,EURL,Programmation informatique,2018-05-15,0,9DB82DB0-FAE7-EB11-BACB-0022489B9F4E
F & C LABO,07206,1089Z,SARL,,2019-04-11,0,ED6228B6-FAE7-EB11-BACB-0022489B9F4E
METABOLES,07214,6820B,SC,,2018-11-26,0,4916FAD9-FAE7-EB11-BACB-0022489B9F4E
ANDREZE AUTOMOBILES,07218,4520A,SARL,Entretien et réparation de véhicules automobiles légers,2018-12-20,0,1C2368E7-FAE7-EB11-BACB-0022489B9F4E
SUBCAR.COM,07219,4520A,EURL,Entretien et réparation de véhicules automobiles légers,2018-12-26,2,3E2368E7-FAE7-EB11-BACB-0022489B9F4E
VILLA GABENA,07223,6820B,SCI,Location de terrains et d'autres biens immobiliers,2018-12-13,0,E99027FA-FAE7-EB11-BACB-0022489B9F4E
SOURDOREILLE PRODUCTION,07226,5920Z,SARL,Enregistrement sonore et édition musicale,2018-07-04,0,F0563508-FBE7-EB11-BACB-0022489B9F4E
LOUISE BSA,07227,5610A,EURL,,2018-07-27,0,FF563508-FBE7-EB11-BACB-0022489B9F4E
THOR,07241,5630Z,SAS,Débits de boissons,2018-09-11,9,2CFCBC46-FBE7-EB11-BACB-0022489B9F4E
IEC ENERGIES,07245,4321A,SAS,,2018-11-06,0,E2B5B452-FBE7-EB11-BACB-0022489B9F4E
LA BOITE A TARTINES,07249,5610A,SARL,,2019-05-31,0,4453A264-FBE7-EB11-BACB-0022489B9F4E
MITRA DEVELOPPEMENT ,07256,6420Z,SAS,,2018-06-13,0,F6478582-FBE7-EB11-BACB-0022489B9F4E
INFINILINE ,07259,6420Z,SARL,Activités des sociétés holding,2018-06-15,0,2A6A008C-FBE7-EB11-BACB-0022489B9F4E
DERSOIR CEDRIC,07261,4331Z,SARL,Travaux de plâtrerie,2019-03-11,0,606FFE98-FBE7-EB11-BACB-0022489B9F4E
GARAGE AUTO NOME ,07263,,EURL,,2018-07-04,0,CDDA799F-FBE7-EB11-BACB-0022489B9F4E
CLACK ,07264,7021Z,SASU,Conseil en relations publiques et communication,2018-06-28,0,21DB799F-FBE7-EB11-BACB-0022489B9F4E
EROUSSEAU,07265,7490B,SASU,"Activités spécialisées, scientifiques et techniques diverses",2018-06-28,0,E92172A5-FBE7-EB11-BACB-0022489B9F4E
LES PETITS PAS DE BOURGUEIL,07273,8891A,SARL,,2018-07-06,0,60B571C3-FBE7-EB11-BACB-0022489B9F4E
MOT MALICE ,07275,6420Z,SASU,Activités des sociétés holding,2018-08-20,0,3BFE69C9-FBE7-EB11-BACB-0022489B9F4E
DECALF CHRISTIAN ,07276,4789Z,IND,,2018-06-26,0,2C4662CF-FBE7-EB11-BACB-0022489B9F4E
VARIANT CONSULTANTS,07277,7022Z,SARL,Conseil pour les affaires et autres conseils de gestion,2018-09-17,0,15535FD5-FBE7-EB11-BACB-0022489B9F4E
LOUIS JEAN ERIC ,07282,6820A,IND,Location de logements,2018-10-03,0,633B45ED-FBE7-EB11-BACB-0022489B9F4E
LES PONTS ,07283,5610A,EURL,Restauration traditionnelle,2018-10-02,0,763D45ED-FBE7-EB11-BACB-0022489B9F4E
BUSSON ,07284,8690E,IND,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",2018-09-04,0,28903DF3-FBE7-EB11-BACB-0022489B9F4E
LECHAT,07294,4321A,IND,Travaux d'installation électrique dans tous locaux,2018-08-28,0,4B380E23-FCE7-EB11-BACB-0022489B9F4E
CITADELLE OUEST,07298,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-11-13,0,B410F734-FCE7-EB11-BACB-0022489B9F4E
LOIRE VIN BIO,07305,9412Z,ASS,Activités des organisations professionnelles,2018-07-12,0,FF7BD052-FCE7-EB11-BACB-0022489B9F4E
FINANCIERE PATATES,07307,6630Z,SARL,Gestion de fonds,2018-08-28,0,97C8C858-FCE7-EB11-BACB-0022489B9F4E
BVG L.A,07315,9311Z,EURL,Gestion d'installations sportives,2018-10-29,0,B995A476-FCE7-EB11-BACB-0022489B9F4E
SAINT DENIS ,07320,6820b,SAS,,2018-07-26,0,39DD8C8E-FCE7-EB11-BACB-0022489B9F4E
SAUSSEREAU,07322,6622z,IND,,2018-09-28,0,EB0A4B95-FCE7-EB11-BACB-0022489B9F4E
KERIHUEL,07323,4334Z,EIRL,Travaux de peinture et vitrerie,2018-09-21,0,9553439B-FCE7-EB11-BACB-0022489B9F4E
FRANCE HABITAT 44,07327,1610B,SARL,Imprégnation du bois,2018-10-16,0,C82D2CAD-FCE7-EB11-BACB-0022489B9F4E
LOUET,07331,7022Z,IND,,2018-10-02,0,0C6A17BF-FCE7-EB11-BACB-0022489B9F4E
SURUT,07346,5610A,SARL,Restauration traditionnelle,2018-10-05,12,C38638FD-FCE7-EB11-BACB-0022489B9F4E
SEVA SOCIETE D'EMBALLAGES,07359,1624Z,SAS,,2018-10-04,0,10BC8D2E-FDE7-EB11-BACB-0022489B9F4E
AGARTHA,07362,5610C,SARL,Restauration de type rapide,2018-11-28,0,7E4C7E3A-FDE7-EB11-BACB-0022489B9F4E
AUBANCE SERVICES,07367,8121Z,EURL,Nettoyage courant des bâtiments,2019-01-03,0,BE8A694C-FDE7-EB11-BACB-0022489B9F4E
CHAPPEY NATHALIE,07369,8690e,IND,,2018-11-27,0,F41A5A58-FDE7-EB11-BACB-0022489B9F4E
NATU,07371,,SARL,,2018-11-12,0,B864525E-FDE7-EB11-BACB-0022489B9F4E
FLAVIEN,07375,4334Z,SASU,Travaux de peinture et vitrerie,2018-10-16,0,3D284770-FDE7-EB11-BACB-0022489B9F4E
CRIBIER,07381,9609Z,EIRL,Autres services personnels n.c.a.,2018-12-04,0,7C2BA285-FDE7-EB11-BACB-0022489B9F4E
LE BOIS PRIN,07382,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-02-15,0,F9739A8B-FDE7-EB11-BACB-0022489B9F4E
LMNP LELOUP,07383,6820B,IND,Location de terrains et d'autres biens immobiliers,2018-11-30,0,161F9591-FDE7-EB11-BACB-0022489B9F4E
SCI DE L'AEROPOLE,07389,6832A,SCI,Administration d'immeubles et autres biens immobiliers,2019-03-27,0,D3E36DA5-FDE7-EB11-BACB-0022489B9F4E
LPFG,07391,6820B,SCI,Location de terrains et d'autres biens immobiliers,2018-11-18,0,03FCA5B1-FDE7-EB11-BACB-0022489B9F4E
TURK,07392,4334Z,IND,,2018-11-13,0,DCFCA5B1-FDE7-EB11-BACB-0022489B9F4E
ARTIST SERVICES,07393,5920Z,SASU,Enregistrement sonore et édition musicale,2018-11-20,0,CE469EB7-FDE7-EB11-BACB-0022489B9F4E
SWEN PRODUCTION,07398,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-07-17,0,8EF288CF-FDE7-EB11-BACB-0022489B9F4E
TEAM'FIT58,07407,9313Z,SAS,Activités des centres de culture physique,2018-11-26,0,02155AF9-FDE7-EB11-BACB-0022489B9F4E
GAELAND,07420,6820B,EURL,Location de terrains et d'autres biens immobiliers,2018-11-12,0,236A252F-FEE7-EB11-BACB-0022489B9F4E
AU BON SOURIRE,07423,5610A,EURL,Restauration traditionnelle,2019-06-25,1,45FC153B-FEE7-EB11-BACB-0022489B9F4E
DE L'ECHALLIER,07426,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-09-13,0,A2520B47-FEE7-EB11-BACB-0022489B9F4E
OLLIVIER ,07430,IRPP,IND,,2023-08-09,0,60EC0459-FEE7-EB11-BACB-0022489B9F4E
RIBE INVEST,07433,6820B,SCI,,2019-06-12,0,6BA67865-FEE7-EB11-BACB-0022489B9F4E
LAFONTA-SANTE,07436,4774Z,EURL,,2018-12-07,0,D78DC374-FEE7-EB11-BACB-0022489B9F4E
PILAN,07443,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-10-28,0,98FCDB91-FEE7-EB11-BACB-0022489B9F4E
MDB INVESTISSEMENT,07446,6820B,SCI,Location de terrains et d'autres biens immobiliers,2023-11-20,0,8FA6D697-FEE7-EB11-BACB-0022489B9F4E
FB CHOCOLATIER TORREFACTEUR,07447,1083Z,EURL,Transformation du thé et du café,2018-11-26,0,3703E29D-FEE7-EB11-BACB-0022489B9F4E
NAIL,07455,4520A,IND,Entretien et réparation de véhicules automobiles légers,2018-12-28,5,0AB402BF-FEE7-EB11-BACB-0022489B9F4E
GAIGNARD,07456,4520A,IND,,2019-05-24,0,DDAD0BC5-FEE7-EB11-BACB-0022489B9F4E
LA CARRIERE,07460,9004Z,SAS,Gestion de salles de spectacles,2019-06-14,0,40EAF6D6-FEE7-EB11-BACB-0022489B9F4E
OBOSO,07462,9002Z,SASU,Activités de soutien au spectacle vivant,2018-12-18,0,2734EFDC-FEE7-EB11-BACB-0022489B9F4E
FECOPRO,07463,4711D,EURL,Supermarchés,2019-03-06,0,28FBC9E3-FEE7-EB11-BACB-0022489B9F4E
TIME BOX ,07465,5610C,SARL,,2019-01-08,0,629295EB-FEE7-EB11-BACB-0022489B9F4E
A2 BATI,07467,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-07-03,0,91A1B1F1-FEE7-EB11-BACB-0022489B9F4E
KFR COMPAGNIE,07468,4725Z,SARL,Commerce de détail de boissons en magasin spécialisé,2019-01-30,0,6D35B8F7-FEE7-EB11-BACB-0022489B9F4E
AU GOÛT DU JEU,07476,4765Z,SARL,Commerce de détail de jeux et jouets en magasin spécialisé,2019-09-03,0,C4213918-FFE7-EB11-BACB-0022489B9F4E
LA FABRIQUE,07483,1071C,SARL,Boulangerie et boulangerie-pâtisserie,2019-04-29,2,F88D1236-FFE7-EB11-BACB-0022489B9F4E
D2C DESSIN CONCEPTION CRÉATION,07488,7112B,EURL,"Ingénierie, études techniques",2019-01-31,0,D6190C48-FFE7-EB11-BACB-0022489B9F4E
KART BY TEEBEE,07493,9329Z,SAS,Autres activités récréatives et de loisirs,2019-06-24,0,83FFF15F-FFE7-EB11-BACB-0022489B9F4E
MAINGAUTIER,07494,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-10-09,0,8347EA65-FFE7-EB11-BACB-0022489B9F4E
SL3A,07496,5610a,EURL,,2019-05-29,0,97DEF06B-FFE7-EB11-BACB-0022489B9F4E
L'AMI D'PAIN,07498,1071c,SARL,,2019-03-30,0,E9381B72-FFE7-EB11-BACB-0022489B9F4E
NDC IMMO,07500,6820B,SCI,,,0,3C1A557C-FFE7-EB11-BACB-0022489B9F4E
APO33,07505,9002Z,ASS,Activités de soutien au spectacle vivant,2019-09-27,0,5811E08E-FFE7-EB11-BACB-0022489B9F4E
VAUBANAISE,07506,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-02-10,0,1A177B97-FFE7-EB11-BACB-0022489B9F4E
BIGRE,07511,9499Z,ASS,,2019-09-27,0,E9EF63A9-FFE7-EB11-BACB-0022489B9F4E
LA P'TITE BOULANGE,07512,1071C,SASU,BOULANGERIE-PATISSERIE                                                                              ,2019-02-19,0,4B385CAF-FFE7-EB11-BACB-0022489B9F4E
BATI DECO,07514,,SASU,,2019-02-19,0,B9E456B5-FFE7-EB11-BACB-0022489B9F4E
DOIRE NICOLAS,07516,1071C,EURL,Boulangerie et boulangerie-pâtisserie,2019-03-30,0,222F4FBB-FFE7-EB11-BACB-0022489B9F4E
CHAT ALORS,07517,9499Z,ASS,,2019-09-27,0,407747C1-FFE7-EB11-BACB-0022489B9F4E
A2 L'ART DE L'AGENCEMENT,07520,4332C,SASU,Agencement de lieux de vente,2019-03-01,4,CACC3CCD-FFE7-EB11-BACB-0022489B9F4E
ALTEREGO,07522,6420Z,SASU,Activités des sociétés holding,2021-01-31,0,C41635D3-FFE7-EB11-BACB-0022489B9F4E
AJ CREATION,07524,4331Z,EURL,Travaux de plâtrerie,2019-04-18,0,2C0928DF-FFE7-EB11-BACB-0022489B9F4E
A3PM,07525,6420Z,SARL,,2019-03-11,0,490B28DF-FFE7-EB11-BACB-0022489B9F4E
SAS DIDIER FOUQUERON,07526,4321A,SASU,,2019-03-07,0,245220E5-FFE7-EB11-BACB-0022489B9F4E
FOUQUERON ATLANTIQUE,07528,4322A,EURL,,2019-03-07,0,85DC7BEC-FFE7-EB11-BACB-0022489B9F4E
LEJOFLO,07533,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-02-20,0,4E7E2005-00E8-EB11-BACB-0022489B9F4E
BAPTISTE BLANLOEIL,07534,6420Z,EURL,,2019-06-14,0,A4ED1F0B-00E8-EB11-BACB-0022489B9F4E
CAP VERS,07541,5610A,EURL,Restauration traditionnelle,2019-05-20,3,7770981F-00E8-EB11-BACB-0022489B9F4E
JOUET,07547,8130Z,IND,Services d'aménagement paysager,2019-03-27,1,74919837-00E8-EB11-BACB-0022489B9F4E
PRISME EDITIONS,07561,4791A,EURL,Vente à distance sur catalogue général,2019-09-16,0,4211A86E-00E8-EB11-BACB-0022489B9F4E
CHATILLON,07563,6820A,IND,,2019-03-20,0,79BDA274-00E8-EB11-BACB-0022489B9F4E
USITECH,07568,2562B,EURL,,2019-05-24,0,A8BE9286-00E8-EB11-BACB-0022489B9F4E
LE CARABISTOUILLE,07570,5630Z,EURL,Débits de boissons,2019-05-20,0,3AB18592-00E8-EB11-BACB-0022489B9F4E
JRT MOTORS SPORTS,07571,4520A,SARL,Entretien et réparation de véhicules automobiles légers,2019-06-18,0,1EB38592-00E8-EB11-BACB-0022489B9F4E
HUMBLOT,07572,4321A,EIRL,Travaux d'installation électrique dans tous locaux,2019-04-03,0,BEFA7D98-00E8-EB11-BACB-0022489B9F4E
S.E.M.S.72,07574,9602B,SARL,Soins de beauté,2019-07-23,0,204E769E-00E8-EB11-BACB-0022489B9F4E
HOLDING BESSY,07575,6420Z,EURL,Activités des sociétés holding,2019-03-29,0,A38C6EA4-00E8-EB11-BACB-0022489B9F4E
PIERRE DE SUCRE,07577,6630Z,SARL,Gestion de fonds,2019-04-03,0,123869AA-00E8-EB11-BACB-0022489B9F4E
TARAMIT,07581,4711B,EURL,Commerce d'alimentation générale,2019-05-24,0,C68654BC-00E8-EB11-BACB-0022489B9F4E
LHD SOLUTIONS,07582,5510Z,SAS,,2019-03-29,0,E5344FC2-00E8-EB11-BACB-0022489B9F4E
LOUIS INVEST,07588,6420Z,EURL,Activités des sociétés holding,2020-04-27,0,DFBDD9DA-00E8-EB11-BACB-0022489B9F4E
J.E.P,07589,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-03-05,0,C0BFD9DA-00E8-EB11-BACB-0022489B9F4E
ONE POT' TRAITEUR,07594,1085Z,SARL,,2019-04-09,0,BD07C2F2-00E8-EB11-BACB-0022489B9F4E
TURCAON,07596,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-03-27,0,5652BAF8-00E8-EB11-BACB-0022489B9F4E
VISO,07598,6619A,SCM,Supports juridiques de gestion de patrimoine mobilier,2020-01-07,0,B9E1AA04-01E8-EB11-BACB-0022489B9F4E
LE JEUNE,07602,8622C,SELARL,Autres activités des médecins spécialistes,2020-01-07,0,04819816-01E8-EB11-BACB-0022489B9F4E
SAINT JOSEPH,07605,,SCI,,2019-05-20,0,4FCB901C-01E8-EB11-BACB-0022489B9F4E
WIND AND METAL SERVICES,07613,3320B,SAS,,2019-10-21,0,D3166946-01E8-EB11-BACB-0022489B9F4E
LE MOULIN DES LANDES,07618,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-04-16,0,30A7DB5E-01E8-EB11-BACB-0022489B9F4E
LTG2,07619,5630Z,SARL,,2019-06-24,0,D6A8DB5E-01E8-EB11-BACB-0022489B9F4E
GUYOMARD AUDREY,07622,8690E,IND,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",2019-06-18,0,40DF7A6D-01E8-EB11-BACB-0022489B9F4E
LES FAVORIS,07625,7820Z,SASU,,2019-04-30,0,B1ADED7A-01E8-EB11-BACB-0022489B9F4E
FAERYA CONCEPT,07626,9001Z,EURL,Arts du spectacle vivant,2019-06-14,0,E5ADED7A-01E8-EB11-BACB-0022489B9F4E
BOURGEAIS,07629,IRPP,IND,,2019-04-12,0,A7A72988-01E8-EB11-BACB-0022489B9F4E
TS TRANSACTIONS,07633,6820A,SAS,Location de logements,2020-02-04,0,5A17CA9A-01E8-EB11-BACB-0022489B9F4E
ROLLET,07635,4391B,EIRL,Travaux de couverture par éléments,2019-05-29,0,91FCDEA0-01E8-EB11-BACB-0022489B9F4E
OTONOM,07638,4649Z,SARL,Commerce de gros (commerce interentreprises) d'autres biens,2020-07-30,0,67F0D1AC-01E8-EB11-BACB-0022489B9F4E
CHEZ B.B.,07641,5610A,SARL,Restauration traditionnelle,2019-05-29,0,519ECCB2-01E8-EB11-BACB-0022489B9F4E
NATHEMM,07642,5610A,SARL,Restauration traditionnelle,2019-05-16,3,49ABC9B8-01E8-EB11-BACB-0022489B9F4E
MM DD,07644,1071C,SAS,Boulangerie et boulangerie-pâtisserie,2019-05-17,0,B63ABAC4-01E8-EB11-BACB-0022489B9F4E
SAMSON ADRIEN,07646,6820A,IND,Location de logements,2020-03-06,0,AB86B2CA-01E8-EB11-BACB-0022489B9F4E
EMILIENNE,07653,1071C,SAS,,2019-06-05,0,35A693E2-01E8-EB11-BACB-0022489B9F4E
DAVY AURÉLIE,07654,8690d,IND,,2019-05-17,0,73A893E2-01E8-EB11-BACB-0022489B9F4E
MRANI ALAOUI YASSINE,07657,6201Z,IND,,2019-06-25,0,9F3784EE-01E8-EB11-BACB-0022489B9F4E
LOGA,07660,6820B,SCI,Location de terrains et d'autres biens immobiliers,2023-06-30,0,C3A4E0F4-01E8-EB11-BACB-0022489B9F4E
VALEX,07665,5610A,SARL,Restauration traditionnelle,2020-08-25,2,7A1C4E08-02E8-EB11-BACB-0022489B9F4E
2TSO THERMOLAQUAGE TRAVAUX SECOND ,07668,2561Z,SAS,,2019-07-05,0,B6D18314-02E8-EB11-BACB-0022489B9F4E
DING DONG,07689,6630Z,SARL,Gestion de fonds,2019-10-10,0,32D5D363-02E8-EB11-BACB-0022489B9F4E
KAMILIE,07693,6619A,SCM,Supports juridiques de gestion de patrimoine mobilier,2020-04-22,0,C09AC875-02E8-EB11-BACB-0022489B9F4E
MERLET,07695,9602A,IND,Coiffure,2019-05-31,0,C6E3C07B-02E8-EB11-BACB-0022489B9F4E
IS.49IMMOBILIER-ANGERS,07699,6832B,SCI,Supports juridiques de gestion de patrimoine immobilier,2019-07-03,0,B4C7C593-02E8-EB11-BACB-0022489B9F4E
LA FABRIQUE PLOU-COIFFARD,07703,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-06-12,0,E55AB69F-02E8-EB11-BACB-0022489B9F4E
GUIOD,07704,6820A,IND,Location de logements,2019-09-02,0,56A3AEA5-02E8-EB11-BACB-0022489B9F4E
TARAMIT TREMOILLE,07710,5610C,EURL,Restauration de type rapide,2019-05-24,1,8DA2E7AE-03E8-EB11-BACB-0022489B9F4E
J.BELO,07822,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-11-26,0,BC1CCB65-12E8-EB11-BACB-0022489B9F4E
ART'IM 49,07831,6831Z,SARL,Agences immobilières,2019-09-03,0,12A2BAA4-13E8-EB11-BACB-0022489B9F4E
CT GROUPE,07832,6420Z,SAS,Activités des sociétés holding,2019-09-03,0,8BA3BAA4-13E8-EB11-BACB-0022489B9F4E
CK FINANCES,07833,6630Z,SASU,Gestion de fonds,2019-09-03,1,3C12BAAA-13E8-EB11-BACB-0022489B9F4E
PA2C,07838,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-09-19,0,D7A8B0C2-13E8-EB11-BACB-0022489B9F4E
BEILLOUET,07839,6820A,IND,,2019-09-19,0,9FAAB0C2-13E8-EB11-BACB-0022489B9F4E
M2C IMMO,07840,6831Z,SAS,Agences immobilières,2019-09-03,0,AFF7A8C8-13E8-EB11-BACB-0022489B9F4E
EDEN,07845,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-11-25,0,FA3B94DA-13E8-EB11-BACB-0022489B9F4E
CADIOU,07847,6820A,IND,Location de logements,2019-09-27,0,8AD1B9E0-13E8-EB11-BACB-0022489B9F4E
MARTIN,07870,4333Z,IND,Travaux de revêtement des sols et des murs,2020-03-18,0,BE6CDA34-14E8-EB11-BACB-0022489B9F4E
FBS,07872,5610C,SARL,Restauration de type rapide,2019-12-09,0,983DC03C-14E8-EB11-BACB-0022489B9F4E
ALTERDRONE,07873,7420Z,EURL,Activités photographiques,2019-10-11,0,2DBFF142-14E8-EB11-BACB-0022489B9F4E
FOUQUERAY,07881,9512Z,EIRL,REPARATION DE TELEPHONE                                                                             ,2019-09-30,0,D4111561-14E8-EB11-BACB-0022489B9F4E
COTE JADE,07884,4711B,EURL,,2019-11-29,0,97A4056D-14E8-EB11-BACB-0022489B9F4E
DELETRE,07890,4511Z,SA,Commerce de voitures et de véhicules automobiles légers,2019-10-30,0,5470008B-14E8-EB11-BACB-0022489B9F4E
HETYK,07896,6420z,EURL,Activités des sociétés holding,2020-05-14,0,8493E1A2-14E8-EB11-BACB-0022489B9F4E
GO UP,07904,8299Z,SASU,Autres activités de soutien aux entreprises n.c.a.,2019-11-07,0,216CBAC6-14E8-EB11-BACB-0022489B9F4E
HOTEL L'AMIRAUTE,07909,5510Z,SAS,,2019-11-29,0,7FA7C4D8-14E8-EB11-BACB-0022489B9F4E
LOLIPE,07920,8211Z,SASU,Holding financière,,0,6B59860E-15E8-EB11-BACB-0022489B9F4E
DCB NOTAIRES ASSOCIES,07922,6910Z,SELARL,,2019-10-11,0,7EA37E14-15E8-EB11-BACB-0022489B9F4E
IJEPP,07924,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-11-26,0,27BD7820-15E8-EB11-BACB-0022489B9F4E
TEAM BVG,07929,6420Z,SARL,Activités des sociétés holding,2021-03-29,0,86206B32-15E8-EB11-BACB-0022489B9F4E
PIZZA COOK,07937,5610C,SARL,Restauration de type rapide,2020-12-04,17,DC353F56-15E8-EB11-BACB-0022489B9F4E
VIRTUOSE ENERGIES,07941,4322B,SASU,Travaux d'installation d'équipements thermiques et de climatisation,2020-05-18,2,790E2868-15E8-EB11-BACB-0022489B9F4E
BANCHEREAU,07952,6820A,IND,Location de logements,2020-01-06,0,A0184694-15E8-EB11-BACB-0022489B9F4E
SORIN ASSAINISSEMENT,07953,4673A,EURL,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,2020-03-05,0,B8184694-15E8-EB11-BACB-0022489B9F4E
WOK PEKIN,07962,5610A,SARL,Restauration traditionnelle,2021-02-25,7,315837B2-15E8-EB11-BACB-0022489B9F4E
MORGAN VIEW PLV,07966,5819Z,SAS,Autres activités d'édition,2020-01-08,0,B36C3AC4-15E8-EB11-BACB-0022489B9F4E
FRANCE LOCATION INDUSTRIE FLI 53,07978,7739Z,SAS,,2019-12-20,0,98756809-16E8-EB11-BACB-0022489B9F4E
IBC NET LINGE,07981,1392Z,SARL,,2019-12-20,0,1DB5E00F-16E8-EB11-BACB-0022489B9F4E
RPA,07983,6820B,SCI,,2019-12-23,0,B6A3D31B-16E8-EB11-BACB-0022489B9F4E
RPB,07984,6820B,SCI,,2019-12-24,0,37A5D31B-16E8-EB11-BACB-0022489B9F4E
DES FOURNEAUX,07987,6820B,SCI,,2019-12-24,0,4F79E928-16E8-EB11-BACB-0022489B9F4E
CHEVEUX D'ANGE,07996,9602A,EURL,Coiffure,2019-12-20,0,9ECD934E-16E8-EB11-BACB-0022489B9F4E
LOUE AUTOMOBILES,08009,4520A,SARL,,2020-01-24,0,F74E707E-16E8-EB11-BACB-0022489B9F4E
COLETTE FLEURS,08012,4776Z,EURL,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces",2020-01-08,0,C63F638A-16E8-EB11-BACB-0022489B9F4E
LZO IMMO,08021,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-10-26,0,3C5537AE-16E8-EB11-BACB-0022489B9F4E
LES MARMITES,08022,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-01-24,0,4E9D2FB4-16E8-EB11-BACB-0022489B9F4E
LSMC,08023,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-12-20,0,C99E2FB4-16E8-EB11-BACB-0022489B9F4E
INDIVISION BOURREAU + FLORENTIN,08025,6820A,IND,Location de logements,2021-01-31,0,089022C0-16E8-EB11-BACB-0022489B9F4E
BONNARD,08028,5610A,SARL,Restauration traditionnelle,2020-01-13,1,24DA1AC6-16E8-EB11-BACB-0022489B9F4E
LE HAUT COUDRAY,08043,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-11-09,0,BC661908-17E8-EB11-BACB-0022489B9F4E
FORTUN,08047,1071C,IND,Boulangerie et boulangerie-pâtisserie,2020-02-25,0,E8292D1A-17E8-EB11-BACB-0022489B9F4E
SYNEGORE,08048,6910Z,SARL,Activités juridiques,2019-12-19,4,772A2D1A-17E8-EB11-BACB-0022489B9F4E
TERRE D'AVENIR,08050,6831Z,SARL,Agences immobilières,2020-02-25,2,7F1F2026-17E8-EB11-BACB-0022489B9F4E
SEBASTIEN MANCEAU,08058,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-01-07,0,5B140344-17E8-EB11-BACB-0022489B9F4E
P.KO PEKO METHOD,08059,8230Z,SASU,"Organisation de foires, salons professionnels et congrès",2020-02-24,0,AE5BFB49-17E8-EB11-BACB-0022489B9F4E
AREN'HA,08063,4321A,EURL,Travaux d'installation électrique dans tous locaux,2020-02-27,0,2F13F355-17E8-EB11-BACB-0022489B9F4E
ESW BEAUTY,08067,4645Z,SASU,,2020-02-03,2,86ECDB67-17E8-EB11-BACB-0022489B9F4E
ARTEMI'Z,08069,5610C,SARL,Restauration de type rapide,2020-09-08,7,485DDB6D-17E8-EB11-BACB-0022489B9F4E
JMA,08070,6820B,SCI,,2020-01-21,0,4A08D673-17E8-EB11-BACB-0022489B9F4E
CLARHOLDING,08071,8211Z,SASU,,2020-01-21,0,23B3D079-17E8-EB11-BACB-0022489B9F4E
AICP ISOLATION,08078,4329A,SARL,Travaux d'isolation,2020-06-30,0,BE7DAC97-17E8-EB11-BACB-0022489B9F4E
